DATE,PRCP,SNOW,TAVG,TMAX
08-Jan,9.98,27.5,35.9,42.8
08-Feb,7.1,20.6,38.6,46.8
08-Mar,0.7,2,47.3,59.9
08-Apr,0.16,0,50.9,64.2
08-May,1.79,0,57.5,69.2
08-Jun,0,0,66.9,80.6
08-Jul,0,0,74.3,88.1
08-Aug,0,0,74.9,89.3
08-Sep,0,0,69.4,84.4
08-Oct,1.91,0,58.7,72.9
08-Nov,3.94,0,48.2,57.3
08-Dec,4.77,24,35.8,43.4
09-Jan,6.09,2.3,41.8,50.4
09-Feb,6.2,40,38.4,45.7
09-Mar,4.86,7,44.1,55.8
09-Apr,2,1,49.4,62.4
09-May,5.24,0,61.7,74.5
09-Jun,0.85,0,62,73.6
09-Jul,0,0,73.7,88.1
09-Aug,0.45,0,70.9,84.9
09-Sep,0.04,0,69.8,84.4
09-Oct,3.45,0,53.3,65.8
09-Nov,0.82,0,47,58.3
09-Dec,5.68,17,37.1,44.5
10-Jan,6.37,20,39.8,47
10-Feb,5.9,0,41.7,50.7
10-Mar,4.61,12.5,44.1,55.9
10-Apr,6.26,13.5,45.1,55.4
10-May,3.16,2,50.7,61.6
10-Jun,0,0,64.5,77.1
10-Jul,0,0,72.3,85.7
10-Aug,0.1,0,69.2,83.2
10-Sep,0,0,66.1,80.7
10-Oct,8.53,0,55.9,66
10-Nov,7.85,36,42.2,51.3
10-Dec,14.04,9,38.3,43.9
14-Sep,0.51,0,69.6,82.1
14-Oct,0.22,0,62.1,75.1
14-Nov,3.73,0,49.2,59.2
14-Dec,4.74,0,42.6,49.6
15-Jan,0,0,46.7,57.2
15-Feb,4.13,0,51.1,63.3
15-Mar,0.76,0.3,53.3,65.4
15-Apr,4.01,4,52,63.1
15-May,3.02,0,56.2,66.1
15-Jun,0.64,0,71.3,84.2
15-Jul,1.69,0,72.4,84.1
15-Aug,0,0,74.3,87.4
15-Sep,0.08,0,70.3,83
15-Nov,4.36,2.5,43.8,53.5
15-Dec,8.43,15,36.9,44.7
16-Jan,9.15,13,39.3,46.8
16-Feb,1.59,6.5,48.9,60.4
16-Mar,7.77,1,47.7,57.8
16-Apr,3.36,0,54.4,65.1
16-May,0.55,0,57.6,67.6
16-Jun,0.21,0,69.4,82
16-Aug,0,0,74.3,87.7
16-Sep,0.05,0,66.5,79.9
16-Oct,6.47,0,56.3,67.4
16-Nov,2.6,6,48.5,58.6
16-Dec,7.67,1.8,39.8,46.8
17-Jan,18.82,31.5,36,42.3
17-Feb,16.2,3.5,42.6,49.4
17-Mar,5.02,7.5,48.6,59.7
17-Apr,5.63,0,50.6,60.6
17-May,0.49,0,59.7,71
17-Jun,0.14,0,68.3,80.4
17-Jul,0,0,75.6,89.1
17-Aug,0,0,75.3,87.3
17-Sep,1.85,0,66.2,77.9
17-Oct,0.59,0,58.8,72.9
17-Nov,6.17,1,48.6,57.1
17-Dec,0.35,0,45,54.3
18-Jan,4.44,0.5,45.7,54.6
18-Feb,0.96,9.5,43.6,54.9
18-Mar,15.27,43.1,42.5,51.5
18-Apr,3.74,4.8,53.2,65.8
18-May,0.18,0,57.6,69.2
18-Jun,0,0,67.9,81.7
18-Jul,0.09,0,76.9,89.7
18-Aug,0,0,73.3,86.9
18-Sep,0.2,0,68.3,82.8
18-Oct,0.57,0,57.9,70.4
18-Nov,6.96,0,51.3,63.4
18-Dec,2.13,7.5,41.3,49.5
19-Jan,5.65,5.3,41.4,49.2
19-Feb,12.97,62,33.5,41.1
19-Mar,5.46,3,43.9,52.8
19-Apr,1.6,0,54.2,65.4
19-May,5.63,0,51.9,62
19-Jun,0,0,66,78.5
19-Jul,0,0,70.4,83.6
19-Aug,0,0,72.8,85.6
19-Sep,0.37,0,65.6,78
19-Oct,0,0,55.8,69.4
19-Nov,1.65,16.5,50.6,63.1
19-Dec,5.82,0.5,40,46.8
20-Jan,1.75,8.5,41.2,50.3
20-Feb,0.02,0,47.6,59.8
20-Mar,4.93,9.5,43.2,52.1
20-Apr,3.35,9,52,62.7
20-May,3.5,0,60,71.7
20-Jun,0.09,0,65.5,78.5
20-Jul,0,0,72.6,86.4
20-Aug,0,0,75.1,89.1
20-Sep,0.06,0,70.1,83.6
20-Oct,0,0,64.3,78.2
20-Nov,1.54,3,47.2,58
20-Dec,3.35,0,42.5,51.6
